,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 1.6807581186294556, 'local epoch1 loss': 1.518654704093933}","{'local epoch0 loss': 1.7538628578186035, 'local epoch1 loss': 1.3127092123031616}","{'local epoch0 loss': 1.9068025350570679, 'local epoch1 loss': 1.7738370895385742}","{'local epoch0 loss': 1.6151106357574463, 'local epoch1 loss': 1.352064609527588}","{'local epoch0 loss': 1.8286561965942383, 'local epoch1 loss': 1.510439395904541}",34.33,1.9709403703689574
1,1,"{'local epoch0 loss': 1.3922910690307617, 'local epoch1 loss': 1.6901787519454956}","{'local epoch0 loss': 1.4647583961486816, 'local epoch1 loss': 1.5161608457565308}","{'local epoch0 loss': 1.7598624229431152, 'local epoch1 loss': 1.384343147277832}","{'local epoch0 loss': 1.5563911199569702, 'local epoch1 loss': 1.521600365638733}","{'local epoch0 loss': 1.5611547231674194, 'local epoch1 loss': 1.4820222854614258}",49.62,1.6768914276123046
2,2,"{'local epoch0 loss': 1.199885368347168, 'local epoch1 loss': 1.4196302890777588}","{'local epoch0 loss': 1.5110946893692017, 'local epoch1 loss': 1.6463872194290161}","{'local epoch0 loss': 1.253715991973877, 'local epoch1 loss': 1.3897514343261719}","{'local epoch0 loss': 1.4261020421981812, 'local epoch1 loss': 1.1078596115112305}","{'local epoch0 loss': 1.2929266691207886, 'local epoch1 loss': 1.2244977951049805}",54.82,1.4429432508468627
3,3,"{'local epoch0 loss': 1.0765329599380493, 'local epoch1 loss': 1.479332685470581}","{'local epoch0 loss': 1.543394923210144, 'local epoch1 loss': 1.551777720451355}","{'local epoch0 loss': 1.1687830686569214, 'local epoch1 loss': 1.2155187129974365}","{'local epoch0 loss': 1.3663066625595093, 'local epoch1 loss': 1.3797532320022583}","{'local epoch0 loss': 1.1217817068099976, 'local epoch1 loss': 1.1844258308410645}",57.60999999999999,1.2826496633529663
4,4,"{'local epoch0 loss': 0.9852727055549622, 'local epoch1 loss': 1.2405877113342285}","{'local epoch0 loss': 1.5091452598571777, 'local epoch1 loss': 1.313233494758606}","{'local epoch0 loss': 1.1836222410202026, 'local epoch1 loss': 1.1722580194473267}","{'local epoch0 loss': 1.066288709640503, 'local epoch1 loss': 1.2736910581588745}","{'local epoch0 loss': 1.3960275650024414, 'local epoch1 loss': 1.4082802534103394}",59.08,1.1840596364974976
5,5,"{'local epoch0 loss': 1.030713677406311, 'local epoch1 loss': 1.3032633066177368}","{'local epoch0 loss': 1.4902206659317017, 'local epoch1 loss': 0.8949309587478638}","{'local epoch0 loss': 0.8230740427970886, 'local epoch1 loss': 1.2375996112823486}","{'local epoch0 loss': 1.3388936519622803, 'local epoch1 loss': 0.9512179493904114}","{'local epoch0 loss': 1.0738283395767212, 'local epoch1 loss': 1.0747815370559692}",60.870000000000005,1.1152084846496582
6,6,"{'local epoch0 loss': 1.3513109683990479, 'local epoch1 loss': 1.125925064086914}","{'local epoch0 loss': 1.424518346786499, 'local epoch1 loss': 1.4391783475875854}","{'local epoch0 loss': 1.098746418952942, 'local epoch1 loss': 1.0823192596435547}","{'local epoch0 loss': 1.0534268617630005, 'local epoch1 loss': 0.898155689239502}","{'local epoch0 loss': 0.9812725782394409, 'local epoch1 loss': 1.049509882926941}",62.129999999999995,1.0667438774108886
7,7,"{'local epoch0 loss': 0.9858729839324951, 'local epoch1 loss': 1.0266693830490112}","{'local epoch0 loss': 1.003721833229065, 'local epoch1 loss': 1.1431437730789185}","{'local epoch0 loss': 1.3248268365859985, 'local epoch1 loss': 1.12791109085083}","{'local epoch0 loss': 1.1926430463790894, 'local epoch1 loss': 1.3224204778671265}","{'local epoch0 loss': 1.0796185731887817, 'local epoch1 loss': 1.1549880504608154}",63.63999999999999,1.0271899183273316
8,8,"{'local epoch0 loss': 1.1157290935516357, 'local epoch1 loss': 1.1808487176895142}","{'local epoch0 loss': 1.02671217918396, 'local epoch1 loss': 0.8964724540710449}","{'local epoch0 loss': 1.5850590467453003, 'local epoch1 loss': 0.9589990973472595}","{'local epoch0 loss': 1.1091244220733643, 'local epoch1 loss': 0.96236252784729}","{'local epoch0 loss': 0.9474246501922607, 'local epoch1 loss': 1.4410289525985718}",64.98,0.9906913126945496
9,9,"{'local epoch0 loss': 0.8321576714515686, 'local epoch1 loss': 1.1064934730529785}","{'local epoch0 loss': 1.261466145515442, 'local epoch1 loss': 0.7898843288421631}","{'local epoch0 loss': 1.4226768016815186, 'local epoch1 loss': 0.9205758571624756}","{'local epoch0 loss': 1.3078646659851074, 'local epoch1 loss': 1.4138855934143066}","{'local epoch0 loss': 1.2645092010498047, 'local epoch1 loss': 1.0567396879196167}",66.10000000000001,0.9631251295089722
10,10,"{'local epoch0 loss': 1.010359764099121, 'local epoch1 loss': 1.1792641878128052}","{'local epoch0 loss': 1.212124228477478, 'local epoch1 loss': 0.8774380683898926}","{'local epoch0 loss': 0.9826997518539429, 'local epoch1 loss': 0.9071416258811951}","{'local epoch0 loss': 0.9829757213592529, 'local epoch1 loss': 1.0316752195358276}","{'local epoch0 loss': 1.384015440940857, 'local epoch1 loss': 0.9974396824836731}",67.08,0.9378461256027222
11,11,"{'local epoch0 loss': 1.0248875617980957, 'local epoch1 loss': 1.2048442363739014}","{'local epoch0 loss': 1.1388437747955322, 'local epoch1 loss': 0.8259696364402771}","{'local epoch0 loss': 0.7464475631713867, 'local epoch1 loss': 1.2575500011444092}","{'local epoch0 loss': 1.0361064672470093, 'local epoch1 loss': 1.0484071969985962}","{'local epoch0 loss': 0.8065065741539001, 'local epoch1 loss': 0.8222259879112244}",67.9,0.9149730858802796
12,12,"{'local epoch0 loss': 0.899486780166626, 'local epoch1 loss': 1.0516960620880127}","{'local epoch0 loss': 0.9775145649909973, 'local epoch1 loss': 1.0265051126480103}","{'local epoch0 loss': 1.0081522464752197, 'local epoch1 loss': 0.9848086833953857}","{'local epoch0 loss': 1.2707475423812866, 'local epoch1 loss': 0.9741460680961609}","{'local epoch0 loss': 0.9321451187133789, 'local epoch1 loss': 1.2819041013717651}",68.46,0.8942037096977233
13,13,"{'local epoch0 loss': 0.8579025268554688, 'local epoch1 loss': 0.8061827421188354}","{'local epoch0 loss': 1.1027586460113525, 'local epoch1 loss': 1.0258625745773315}","{'local epoch0 loss': 0.5908336639404297, 'local epoch1 loss': 0.8103320002555847}","{'local epoch0 loss': 0.7320976257324219, 'local epoch1 loss': 1.349253535270691}","{'local epoch0 loss': 1.1196694374084473, 'local epoch1 loss': 1.150526523590088}",69.22,0.8747671217918396
14,14,"{'local epoch0 loss': 0.9474818706512451, 'local epoch1 loss': 1.0838943719863892}","{'local epoch0 loss': 1.10520339012146, 'local epoch1 loss': 1.4877982139587402}","{'local epoch0 loss': 0.955552875995636, 'local epoch1 loss': 1.0771507024765015}","{'local epoch0 loss': 0.8224647641181946, 'local epoch1 loss': 0.6867381930351257}","{'local epoch0 loss': 0.89085853099823, 'local epoch1 loss': 1.0116534233093262}",69.89999999999999,0.8589211987495422
15,15,"{'local epoch0 loss': 1.3967554569244385, 'local epoch1 loss': 1.1001108884811401}","{'local epoch0 loss': 0.890119731426239, 'local epoch1 loss': 1.0276707410812378}","{'local epoch0 loss': 0.6923808455467224, 'local epoch1 loss': 1.1296004056930542}","{'local epoch0 loss': 0.5437921285629272, 'local epoch1 loss': 1.1489124298095703}","{'local epoch0 loss': 0.9182984232902527, 'local epoch1 loss': 0.580281674861908}",70.5,0.8449378144264221
