,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 2.304763078689575, 'local epoch1 loss': 2.2915000915527344}","{'local epoch0 loss': 2.31087589263916, 'local epoch1 loss': 2.2859811782836914}","{'local epoch0 loss': 2.2905924320220947, 'local epoch1 loss': 2.2897939682006836}","{'local epoch0 loss': 2.284350633621216, 'local epoch1 loss': 2.276761293411255}","{'local epoch0 loss': 2.3012030124664307, 'local epoch1 loss': 2.3217015266418457}",12.58,2.299768016052246
1,1,"{'local epoch0 loss': 2.282780170440674, 'local epoch1 loss': 2.294290781021118}","{'local epoch0 loss': 2.275294542312622, 'local epoch1 loss': 2.308527708053589}","{'local epoch0 loss': 2.2816262245178223, 'local epoch1 loss': 2.283146619796753}","{'local epoch0 loss': 2.2975471019744873, 'local epoch1 loss': 2.297628164291382}","{'local epoch0 loss': 2.2784042358398438, 'local epoch1 loss': 2.301884651184082}",12.26,2.2956867771148683
2,2,"{'local epoch0 loss': 2.2756710052490234, 'local epoch1 loss': 2.274296760559082}","{'local epoch0 loss': 2.294222593307495, 'local epoch1 loss': 2.279308795928955}","{'local epoch0 loss': 2.2950754165649414, 'local epoch1 loss': 2.2649130821228027}","{'local epoch0 loss': 2.2898097038269043, 'local epoch1 loss': 2.2864186763763428}","{'local epoch0 loss': 2.302061080932617, 'local epoch1 loss': 2.2919905185699463}",12.23,2.289850341415405
3,3,"{'local epoch0 loss': 2.28631329536438, 'local epoch1 loss': 2.24356746673584}","{'local epoch0 loss': 2.2986063957214355, 'local epoch1 loss': 2.2461414337158203}","{'local epoch0 loss': 2.2677242755889893, 'local epoch1 loss': 2.288221597671509}","{'local epoch0 loss': 2.2814362049102783, 'local epoch1 loss': 2.2823469638824463}","{'local epoch0 loss': 2.286254405975342, 'local epoch1 loss': 2.2826144695281982}",12.85,2.2812692008972166
4,4,"{'local epoch0 loss': 2.292637586593628, 'local epoch1 loss': 2.2743940353393555}","{'local epoch0 loss': 2.2872838973999023, 'local epoch1 loss': 2.2715935707092285}","{'local epoch0 loss': 2.241558313369751, 'local epoch1 loss': 2.2681119441986084}","{'local epoch0 loss': 2.2589540481567383, 'local epoch1 loss': 2.2724151611328125}","{'local epoch0 loss': 2.2533233165740967, 'local epoch1 loss': 2.233250379562378}",13.83,2.2687082122802735
5,5,"{'local epoch0 loss': 2.2637417316436768, 'local epoch1 loss': 2.253983497619629}","{'local epoch0 loss': 2.2383596897125244, 'local epoch1 loss': 2.24360990524292}","{'local epoch0 loss': 2.272012233734131, 'local epoch1 loss': 2.2070164680480957}","{'local epoch0 loss': 2.284792184829712, 'local epoch1 loss': 2.211082935333252}","{'local epoch0 loss': 2.303640127182007, 'local epoch1 loss': 2.162926435470581}",15.61,2.2501277210235595
6,6,"{'local epoch0 loss': 2.2586591243743896, 'local epoch1 loss': 2.1268558502197266}","{'local epoch0 loss': 2.319516181945801, 'local epoch1 loss': 2.188340425491333}","{'local epoch0 loss': 2.2066729068756104, 'local epoch1 loss': 2.213113307952881}","{'local epoch0 loss': 2.230199098587036, 'local epoch1 loss': 2.244588851928711}","{'local epoch0 loss': 2.176959991455078, 'local epoch1 loss': 2.2114510536193848}",17.84,2.2227039638519286
7,7,"{'local epoch0 loss': 2.130584239959717, 'local epoch1 loss': 2.2427706718444824}","{'local epoch0 loss': 2.2100658416748047, 'local epoch1 loss': 2.1731417179107666}","{'local epoch0 loss': 2.23457932472229, 'local epoch1 loss': 2.096848726272583}","{'local epoch0 loss': 2.184133529663086, 'local epoch1 loss': 2.2494304180145264}","{'local epoch0 loss': 2.1478967666625977, 'local epoch1 loss': 2.2441136837005615}",20.61,2.185634420013428
8,8,"{'local epoch0 loss': 2.132659912109375, 'local epoch1 loss': 2.1391758918762207}","{'local epoch0 loss': 2.2744429111480713, 'local epoch1 loss': 2.1115310192108154}","{'local epoch0 loss': 2.2737035751342773, 'local epoch1 loss': 2.0609827041625977}","{'local epoch0 loss': 2.1591506004333496, 'local epoch1 loss': 2.0717976093292236}","{'local epoch0 loss': 2.148043632507324, 'local epoch1 loss': 2.1505496501922607}",23.35,2.140638617706299
9,9,"{'local epoch0 loss': 2.134850025177002, 'local epoch1 loss': 2.0623183250427246}","{'local epoch0 loss': 2.075634241104126, 'local epoch1 loss': 2.1042697429656982}","{'local epoch0 loss': 2.1004366874694824, 'local epoch1 loss': 2.082909345626831}","{'local epoch0 loss': 2.0411298274993896, 'local epoch1 loss': 2.025595188140869}","{'local epoch0 loss': 2.007869243621826, 'local epoch1 loss': 2.1018548011779785}",25.15,2.0961992301940917
