,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 0.8540893793106079, 'local epoch1 loss': 1.3965668678283691, 'local epoch2 loss': 0.3807039260864258, 'local epoch3 loss': 0.6396679878234863, 'local epoch4 loss': 0.2939523756504059, 'local epoch5 loss': 0.37829846143722534, 'local epoch6 loss': 0.536657452583313, 'local epoch7 loss': 0.902519702911377, 'local epoch8 loss': 0.30171874165534973}","{'local epoch0 loss': 1.439594030380249, 'local epoch1 loss': 1.2028429508209229, 'local epoch2 loss': 1.3041465282440186, 'local epoch3 loss': 0.8525776863098145, 'local epoch4 loss': 0.5894352197647095, 'local epoch5 loss': 1.1787676811218262, 'local epoch6 loss': 0.7524940967559814, 'local epoch7 loss': 0.6625639796257019, 'local epoch8 loss': 0.8136323094367981}","{'local epoch0 loss': 1.0874460935592651, 'local epoch1 loss': 1.2084674835205078, 'local epoch2 loss': 0.6844662427902222, 'local epoch3 loss': 0.8686130046844482, 'local epoch4 loss': 0.8361729383468628, 'local epoch5 loss': 0.8413728475570679, 'local epoch6 loss': 0.6267716884613037, 'local epoch7 loss': 0.7656651735305786, 'local epoch8 loss': 0.3504905104637146}","{'local epoch0 loss': 1.3053600788116455, 'local epoch1 loss': 0.8381351232528687, 'local epoch2 loss': 0.6428114175796509, 'local epoch3 loss': 0.4327549636363983, 'local epoch4 loss': 0.554579496383667, 'local epoch5 loss': 0.38107624650001526, 'local epoch6 loss': 0.432217001914978, 'local epoch7 loss': 0.36503303050994873, 'local epoch8 loss': 0.30181431770324707}","{'local epoch0 loss': 2.962250232696533, 'local epoch1 loss': 0.9513852596282959, 'local epoch2 loss': 0.9950351715087891, 'local epoch3 loss': 1.2968000173568726, 'local epoch4 loss': 0.9051012992858887, 'local epoch5 loss': 0.9738435745239258, 'local epoch6 loss': 0.5874947905540466, 'local epoch7 loss': 0.5562021732330322, 'local epoch8 loss': 0.6713277101516724}",28.1,2.1805521858215333
1,1,"{'local epoch0 loss': 0.8303529024124146, 'local epoch1 loss': 0.6282643675804138, 'local epoch2 loss': 0.17388242483139038, 'local epoch3 loss': 0.4227488934993744, 'local epoch4 loss': 0.24109110236167908, 'local epoch5 loss': 0.45770201086997986, 'local epoch6 loss': 0.4235650300979614, 'local epoch7 loss': 0.4058054983615875}","{'local epoch0 loss': 0.6954374313354492, 'local epoch1 loss': 0.5451900959014893, 'local epoch2 loss': 0.5574421286582947, 'local epoch3 loss': 0.8059952259063721, 'local epoch4 loss': 0.49340003728866577, 'local epoch5 loss': 0.25161653757095337, 'local epoch6 loss': 0.7078976631164551, 'local epoch7 loss': 0.44286638498306274}","{'local epoch0 loss': 0.33093589544296265, 'local epoch1 loss': 1.0104787349700928, 'local epoch2 loss': 0.33472898602485657, 'local epoch3 loss': 0.43920832872390747, 'local epoch4 loss': 0.6333549618721008, 'local epoch5 loss': 0.1266196370124817, 'local epoch6 loss': 0.3718824088573456, 'local epoch7 loss': 0.4270980656147003}","{'local epoch0 loss': 0.6538336873054504, 'local epoch1 loss': 0.517851710319519, 'local epoch2 loss': 0.4468315839767456, 'local epoch3 loss': 0.3228566646575928, 'local epoch4 loss': 0.16645964980125427, 'local epoch5 loss': 0.21324610710144043, 'local epoch6 loss': 0.13874268531799316, 'local epoch7 loss': 0.12362310290336609}","{'local epoch0 loss': 0.5071095824241638, 'local epoch1 loss': 0.47375547885894775, 'local epoch2 loss': 0.11659345030784607, 'local epoch3 loss': 0.3984438180923462, 'local epoch4 loss': 0.40435269474983215, 'local epoch5 loss': 0.18335597217082977, 'local epoch6 loss': 0.28344711661338806, 'local epoch7 loss': 0.2749645709991455}",34.39,1.8119917516708375
2,2,"{'local epoch0 loss': 0.9081870317459106, 'local epoch1 loss': 0.5642798542976379, 'local epoch2 loss': 0.24560603499412537, 'local epoch3 loss': 0.15003696084022522, 'local epoch4 loss': 0.3091527223587036, 'local epoch5 loss': 0.3457322120666504, 'local epoch6 loss': 0.11146262288093567, 'local epoch7 loss': 0.18871143460273743, 'local epoch8 loss': 0.22152191400527954}","{'local epoch0 loss': 0.8396761417388916, 'local epoch1 loss': 0.5325063467025757, 'local epoch2 loss': 0.6062581539154053, 'local epoch3 loss': 0.642034649848938, 'local epoch4 loss': 0.5784621238708496, 'local epoch5 loss': 0.5698216557502747, 'local epoch6 loss': 0.4719142019748688, 'local epoch7 loss': 0.7345284223556519, 'local epoch8 loss': 0.30752527713775635}","{'local epoch0 loss': 0.5790879726409912, 'local epoch1 loss': 0.5643534660339355, 'local epoch2 loss': 0.4229587912559509, 'local epoch3 loss': 0.5471023917198181, 'local epoch4 loss': 0.2460775375366211, 'local epoch5 loss': 0.3715927302837372, 'local epoch6 loss': 0.25506263971328735, 'local epoch7 loss': 0.2654314339160919, 'local epoch8 loss': 0.2515190541744232}","{'local epoch0 loss': 0.36641547083854675, 'local epoch1 loss': 0.15729770064353943, 'local epoch2 loss': 0.14689433574676514, 'local epoch3 loss': 0.08993763476610184, 'local epoch4 loss': 0.3198774456977844, 'local epoch5 loss': 0.31384843587875366, 'local epoch6 loss': 0.45683109760284424, 'local epoch7 loss': 0.2246057093143463, 'local epoch8 loss': 0.1246393620967865}","{'local epoch0 loss': 0.5414042472839355, 'local epoch1 loss': 0.25051358342170715, 'local epoch2 loss': 0.2945287227630615, 'local epoch3 loss': 0.2027282416820526, 'local epoch4 loss': 0.6039295196533203, 'local epoch5 loss': 0.24677932262420654, 'local epoch6 loss': 0.18551601469516754, 'local epoch7 loss': 0.3764345049858093, 'local epoch8 loss': 0.13630813360214233}",47.33,1.470144094467163
3,3,"{'local epoch0 loss': 0.24971053004264832, 'local epoch1 loss': 0.48814961314201355, 'local epoch2 loss': 0.2865018844604492}","{'local epoch0 loss': 0.3504904806613922, 'local epoch1 loss': 0.492779403924942, 'local epoch2 loss': 0.6350259780883789}","{'local epoch0 loss': 0.3630455732345581, 'local epoch1 loss': 0.27251148223876953, 'local epoch2 loss': 0.1357116997241974}","{'local epoch0 loss': 0.26652494072914124, 'local epoch1 loss': 0.1702568531036377, 'local epoch2 loss': 0.12332264333963394}","{'local epoch0 loss': 0.5718468427658081, 'local epoch1 loss': 0.3515574336051941, 'local epoch2 loss': 0.1824650913476944}",60.39,1.2139143880844117
4,4,"{'local epoch0 loss': 0.11519388854503632, 'local epoch1 loss': 0.36241811513900757, 'local epoch2 loss': 0.24000677466392517, 'local epoch3 loss': 0.19471481442451477, 'local epoch4 loss': 0.08725850284099579}","{'local epoch0 loss': 0.29046565294265747, 'local epoch1 loss': 0.2824173867702484, 'local epoch2 loss': 0.667684018611908, 'local epoch3 loss': 0.2502656877040863, 'local epoch4 loss': 0.31137487292289734}","{'local epoch0 loss': 0.26750436425209045, 'local epoch1 loss': 0.3147135078907013, 'local epoch2 loss': 0.20122523605823517, 'local epoch3 loss': 0.4013437032699585, 'local epoch4 loss': 0.3962322473526001}","{'local epoch0 loss': 0.11022250354290009, 'local epoch1 loss': 0.29422950744628906, 'local epoch2 loss': 0.1812930852174759, 'local epoch3 loss': 0.16134004294872284, 'local epoch4 loss': 0.21897128224372864}","{'local epoch0 loss': 0.30356866121292114, 'local epoch1 loss': 0.2451454997062683, 'local epoch2 loss': 0.30048149824142456, 'local epoch3 loss': 0.285602867603302, 'local epoch4 loss': 0.13659709692001343}",66.8,1.0287715143203735
5,5,"{'local epoch0 loss': 0.2649015188217163, 'local epoch1 loss': 0.3274405598640442, 'local epoch2 loss': 0.39607730507850647, 'local epoch3 loss': 0.1183483824133873, 'local epoch4 loss': 0.2444029301404953, 'local epoch5 loss': 0.11903518438339233}","{'local epoch0 loss': 0.35135263204574585, 'local epoch1 loss': 0.5243873000144958, 'local epoch2 loss': 0.28553685545921326, 'local epoch3 loss': 0.11701703816652298, 'local epoch4 loss': 0.21091881394386292, 'local epoch5 loss': 0.3259463608264923}","{'local epoch0 loss': 0.17602002620697021, 'local epoch1 loss': 0.35838574171066284, 'local epoch2 loss': 0.2413497269153595, 'local epoch3 loss': 0.14772477746009827, 'local epoch4 loss': 0.1412304788827896, 'local epoch5 loss': 0.4185360074043274}","{'local epoch0 loss': 0.25373682379722595, 'local epoch1 loss': 0.13561305403709412, 'local epoch2 loss': 0.3129391670227051, 'local epoch3 loss': 0.25511258840560913, 'local epoch4 loss': 0.2086527943611145, 'local epoch5 loss': 0.17895832657814026}","{'local epoch0 loss': 0.13734005391597748, 'local epoch1 loss': 0.33265602588653564, 'local epoch2 loss': 0.2296202927827835, 'local epoch3 loss': 0.19590350985527039, 'local epoch4 loss': 0.35410967469215393, 'local epoch5 loss': 0.10561538487672806}",69.91000000000001,0.9280825998306275
6,6,"{'local epoch0 loss': 0.19231556355953217, 'local epoch1 loss': 0.4913036823272705, 'local epoch2 loss': 0.22676584124565125, 'local epoch3 loss': 0.1281234323978424, 'local epoch4 loss': 0.12976637482643127, 'local epoch5 loss': 0.16435740888118744}","{'local epoch0 loss': 0.4040173292160034, 'local epoch1 loss': 0.2939274311065674, 'local epoch2 loss': 0.5361303687095642, 'local epoch3 loss': 0.279010534286499, 'local epoch4 loss': 0.39821290969848633, 'local epoch5 loss': 0.33252233266830444}","{'local epoch0 loss': 0.37138503789901733, 'local epoch1 loss': 0.29911017417907715, 'local epoch2 loss': 0.2449888288974762, 'local epoch3 loss': 0.39863789081573486, 'local epoch4 loss': 0.25306105613708496, 'local epoch5 loss': 0.4100486934185028}","{'local epoch0 loss': 0.418462872505188, 'local epoch1 loss': 0.1990259736776352, 'local epoch2 loss': 0.24694444239139557, 'local epoch3 loss': 0.30558183789253235, 'local epoch4 loss': 0.25324857234954834, 'local epoch5 loss': 0.15567325055599213}","{'local epoch0 loss': 0.2380349189043045, 'local epoch1 loss': 0.17133671045303345, 'local epoch2 loss': 0.14399312436580658, 'local epoch3 loss': 0.239323690533638, 'local epoch4 loss': 0.2952738404273987, 'local epoch5 loss': 0.19641201198101044}",71.48,0.8728058186531067
7,7,"{'local epoch0 loss': 0.2377397119998932, 'local epoch1 loss': 0.28905215859413147, 'local epoch2 loss': 0.3460432291030884, 'local epoch3 loss': 0.2839910089969635, 'local epoch4 loss': 0.06832396239042282, 'local epoch5 loss': 0.22429853677749634, 'local epoch6 loss': 0.08519918471574783, 'local epoch7 loss': 0.13192643225193024}","{'local epoch0 loss': 0.3768627941608429, 'local epoch1 loss': 0.35547953844070435, 'local epoch2 loss': 0.4693632423877716, 'local epoch3 loss': 0.3562270402908325, 'local epoch4 loss': 0.24563750624656677, 'local epoch5 loss': 0.3122388422489166, 'local epoch6 loss': 0.1417314112186432, 'local epoch7 loss': 0.428202748298645}","{'local epoch0 loss': 0.268123596906662, 'local epoch1 loss': 0.3156968951225281, 'local epoch2 loss': 0.18178988993167877, 'local epoch3 loss': 0.27441346645355225, 'local epoch4 loss': 0.42788881063461304, 'local epoch5 loss': 0.2073303759098053, 'local epoch6 loss': 0.3529931902885437, 'local epoch7 loss': 0.09652158617973328}","{'local epoch0 loss': 0.12837694585323334, 'local epoch1 loss': 0.24375101923942566, 'local epoch2 loss': 0.3203572630882263, 'local epoch3 loss': 0.15631604194641113, 'local epoch4 loss': 0.2078864723443985, 'local epoch5 loss': 0.12258455157279968, 'local epoch6 loss': 0.08591445535421371, 'local epoch7 loss': 0.1487095206975937}","{'local epoch0 loss': 0.1685200184583664, 'local epoch1 loss': 0.2955448627471924, 'local epoch2 loss': 0.20785877108573914, 'local epoch3 loss': 0.09086050093173981, 'local epoch4 loss': 0.44232189655303955, 'local epoch5 loss': 0.16303813457489014, 'local epoch6 loss': 0.18785226345062256, 'local epoch7 loss': 0.10154283046722412}",73.63,0.8133040118217468
8,8,"{'local epoch0 loss': 0.2670353651046753, 'local epoch1 loss': 0.27562206983566284, 'local epoch2 loss': 0.1657763421535492, 'local epoch3 loss': 0.29542315006256104, 'local epoch4 loss': 0.261116087436676, 'local epoch5 loss': 0.2625887393951416, 'local epoch6 loss': 0.1437135636806488}","{'local epoch0 loss': 0.4917963147163391, 'local epoch1 loss': 0.29393696784973145, 'local epoch2 loss': 0.3625355064868927, 'local epoch3 loss': 0.23796117305755615, 'local epoch4 loss': 0.3719259798526764, 'local epoch5 loss': 0.10605814307928085, 'local epoch6 loss': 0.2461390644311905}","{'local epoch0 loss': 0.5189518928527832, 'local epoch1 loss': 0.5328192710876465, 'local epoch2 loss': 0.5762079954147339, 'local epoch3 loss': 0.639765739440918, 'local epoch4 loss': 0.24351975321769714, 'local epoch5 loss': 0.3294215798377991, 'local epoch6 loss': 0.4106445014476776}","{'local epoch0 loss': 0.38122063875198364, 'local epoch1 loss': 0.32778847217559814, 'local epoch2 loss': 0.38018643856048584, 'local epoch3 loss': 0.1699797809123993, 'local epoch4 loss': 0.06755311787128448, 'local epoch5 loss': 0.09576290845870972, 'local epoch6 loss': 0.10961669683456421}","{'local epoch0 loss': 0.29697364568710327, 'local epoch1 loss': 0.2553965747356415, 'local epoch2 loss': 0.1914674937725067, 'local epoch3 loss': 0.17229841649532318, 'local epoch4 loss': 0.2876321077346802, 'local epoch5 loss': 0.1494787484407425, 'local epoch6 loss': 0.09275010228157043}",72.15,0.837424082660675
9,9,"{'local epoch0 loss': 0.17097492516040802, 'local epoch1 loss': 0.17365898191928864}","{'local epoch0 loss': 0.5866773128509521, 'local epoch1 loss': 0.36260396242141724}","{'local epoch0 loss': 0.2836412191390991, 'local epoch1 loss': 0.3256869316101074}","{'local epoch0 loss': 0.6919306516647339, 'local epoch1 loss': 0.17317242920398712}","{'local epoch0 loss': 0.2684495747089386, 'local epoch1 loss': 0.2929813265800476}",75.42999999999999,0.772990996837616
