,velocity,direction,iteration,alpha
0,5.0000005,1.5707963,2.0,[ 0.99998766 -0.99999994 -0.00671595]
1,5.0000005,1.5707963,2.0,[ 0.99998444 -0.9999999  -0.00741228]
2,5.0000005,1.5707964,2.0,[ 0.9999888  -0.99999994 -0.00644422]
3,5.0000014,1.5707961,3.0,[ 0.99997133 -0.9999997  -0.00951591]
4,5.0000033,1.5707959,3.0,[ 0.9999543  -0.99999946 -0.01145226]
5,5.000009,1.570795,3.0,[ 0.99990076 -0.99999845 -0.01566452]
6,5.0000362,1.5707911,3.0,[ 0.9997356  -0.9999938  -0.02331036]
7,5.000182,1.5707692,3.0,[ 0.99919796 -0.9999699  -0.03662038]
8,5.000205,1.5707662,3.0,[ 0.9991373  -0.9999666  -0.03741097]
9,5.0001726,1.570772,3.0,[ 0.9992513  -0.99997246 -0.03536603]
10,5.0000825,1.5707855,3.0,[ 0.9995582  -0.99998695 -0.0284892 ]
11,5.0002055,1.570768,3.0,[ 0.99916625 -0.9999678  -0.03623641]
12,5.000092,1.5707848,3.0,[ 0.999542   -0.9999858  -0.02837816]
13,5.0001836,1.5707737,3.0,[ 0.9992886  -0.9999724  -0.03349829]
14,5.0000105,1.5707954,3.0,[ 0.9999122  -0.9999985  -0.01413217]
15,5.0000014,1.5707963,2.0,[ 0.99997884 -0.9999998  -0.00780261]
16,5.0,1.5707964,2.0,[ 0.9999959  -1.         -0.00395051]
17,5.0,1.5707964,2.0,[ 0.99999607 -1.         -0.00386435]
18,5.0,1.5707964,2.0,[ 0.9999961 -1.        -0.0038583]
19,5.0,1.5707964,2.0,[ 0.9999967  -1.         -0.00360253]
