,velocity,direction,iteration,alpha
0,7.442305,0.22500277,3.0,[ 0.07801162 -0.19608909 -0.4796886 ]
1,7.46657,0.26183453,3.0,[ 0.11868238 -0.24785644 -0.47766915]
2,7.586198,0.21834387,3.0,[ 0.07632805 -0.19391865 -0.4801207 ]
3,7.4295745,0.2740579,3.0,[ 0.12720992 -0.2707588  -0.4759419 ]
4,7.4932256,0.2757649,3.0,[ 0.12246472 -0.2807641  -0.4743116 ]
5,7.805773,0.24048087,3.0,[ 0.08380768 -0.23359598 -0.47654504]
6,6.8347583,0.216152,3.0,[ 0.02103635 -0.20020212 -0.4798315 ]
7,7.1698203,0.22938953,3.0,[ 0.0354851  -0.21126194 -0.478477  ]
8,7.118289,0.2266025,3.0,[ 0.02868799 -0.2154876  -0.47786063]
9,7.5117626,0.2100027,3.0,[ 0.02004096 -0.20120628 -0.47819516]
10,6.7486887,0.13459373,3.0,[-0.09715986 -0.10193277 -0.48506397]
11,5.9112544,-0.096492775,3.0,[-0.37703606  0.17236665 -0.4967461 ]
12,6.131424,-0.00818088,3.0,[-0.31536165  0.06916264 -0.49028713]
13,5.430956,-0.22532707,3.0,[-0.55190563  0.33245656 -0.5008398 ]
14,5.405542,-0.2021517,3.0,[-0.552014    0.29568914 -0.49496296]
15,5.3835363,-0.13482974,3.0,[-0.50616974  0.21228671 -0.49269477]
16,5.383708,-0.074432425,3.0,[-0.46238416  0.13298671 -0.48900846]
17,5.208329,-0.16082524,3.0,[-0.5726672   0.27552366 -0.49381945]
18,5.165312,-0.1535329,3.0,[-0.58084345  0.27615267 -0.49558178]
19,5.179431,-0.030402929,3.0,[-0.5010396   0.1404021  -0.49104905]
